project_name,LOC
adversarial-training,11320
AI-Training,22978
ailearning,10898
Air-Pollution,872019
attention-lvcsr,142601
AutoDL-Projects,37139
botorch,40010
BPNN,7675
caffe-opencl-windows-amd,6242
CarND-Capstone-Wolf-Pack,1901
cifar10-human-experiments,31409
crop-yield-prediction-project,7216
cs-ranking,7112
CS385ML,4265
deep-learning-python,2156
DeepCamera,27643
deepdrive,13235
DeepLearningExamples,232701
DeepPavlov,27517
deep_framework,38983
dgl,21456
DI-engine,84952
DIGITS,26920
DIGITS-GAN,25518
Django_web,7190
dlprimitives,3489
DNN-Genealogy,4033
doctr,15260
donkeycar,16267
EMP,3599
experiment,35468
FARM,16491
federated,56066
Galaxy-ML,10370
gdml,31557
geometric-certificates,16060
gh-repo-classifier,5097
graph_coattention,128225
handwritten-text-recognition-for-apache-mxnet,2781
horovod,37247
image_retrieval,1308
io-kawiarnie,8268
ISP2021-object_detection,2224
itf,2534
kur,12410
LAMP_assay_automation,30685
learning-from-human-preferences,3776
machine-learning-and-simulation,2890
Mask_RCNN,3273
ME-134,1929
mead-baseline,43316
meta-minichess,4446
mindmeld,36980
mister_ed,10513
mizar-labs,5795
ml4chem,5959
mlls2015,3818
moneycat,422742
moonlight,6514
MultiSeg,6738
mvlearn,11034
neuralmonkey,13511
new-docs,244
ocrd_keraslm,1396
ocropus4,11175
omdena-philippines-renewable,2182
OpenHands,4089
osemosys_global,1989
PointerNetworks,15807
predicting-citation-counts,2234
procedural-generalization,1677
project-NN-Pytorch-scripts,33509
ProjectsGit,9112
pykale,9484
pylayers,60701
pyro,84413
pysc2-examples,4647
PythonNeuralNetNLP,15660
pytorch-template,622
pytorchrl,14006
QGOpt,1199
QMCTorch,11847
R-CPATMiner,139311
RawNet,3605
Response,686
returnn,107334
rgn2-replica,2028
rtg,10812
scalable_maddpg,4080
Science4Fashion_ref,4146
segregation,6308
Sign-Language-Translator,131059
speechbrain,53554
speech_recognition,1607
Spyrkle,884
StockHelper,730
taiyaki,7748
text_classification,12370
tf-encrypted,18215
tf-quant-finance,34245
tfds-korean,2274
themeaningofbrain,101303
tiny,2346
trojanzoo,17625
twinnet-asr,143042
Vigilantes,2010902
VITAE,2899
Voice-Privacy-Challenge-2022,13726
wikum,8727
zr-obp,32461
